Author/Year,Audiology,Musicianship,Handedness,Eligibility criteria,Sample size,Final number processed,Sex (Male:Female),Age (years)
Nanba et al. (1992),,,Claimed,,35,18,9:9,University students
Nanba et al. (1993),,,Claimed,,50,32,16:16,18–25
Baumgartner et al. (2006),,,Tested,"Physical evaluation to screen out chronic diseases, mental disorders, medication, drug or alcohol abuse. Depression, anxiety and alexithymia were assessed with participants outside normal range excluded.",26,24,0:24,M = 26.1 SD = 5.3
Steinbeis et al. (2006),Self‐report,No musical training beyond classroom music at school^a,Claimed,,12^a,12^a,6:6^a,20–27^a M = 24.7
Koelsch et al. (2008),,No formal musical training besides normal school education,Tested,,20,20,10:10,19–29 M = 24.7
O'Kelly et al. (2013),Claimed by authors^b,High level of musical proficiency excluded^b,,,20^b,EEG = 19 1 missing due to corrupted data^b,7:13^b,Male^b 29–59 M = 41 SD = 11 Female 24–52 M = 34 SD = 12.5
Kuribayashi et al. (2014),Self‐report,,Tested,Self‐reported normal hearing and vision and no history of neurological disorders,20,20,9:11,19–24 M = 21.2
Jäncke et al. (2015),Examination,"No history of musical training, as assessed by an in‐house questionnaire",Tested,"No reported history of present or past neurological, psychiatric, or audiological disorders. Participants denied consuming illegal drugs or regular medication",16,16,4:12,Male M = 23.5 SD = 2.8 Female M = 22.2 SD = 8.7 Combined M = 22.53 SD = 7.47
"Mollakazemi, Biswal, Evans, and Patwardhan (2018)",Examination,,,,14,14,7:7,
"Mollakazemi, Biswal, and Patwardhan (2018)",,,,,14,14,,Adult subjects
Mollakazemi et al. (2019),Examination,,,"Exclusion: age < 18 years or > 37 years, pregnancy; hypertension; history of epilepsy or seizures; photosensitivity; adverse reaction after listening to certain music, songs or sounds; psychotropic drug use that could affect alertness or cognitive functions",14,14,7:7,18–37 M = 27.3 SD = 4.25
Teixeira Borges et al. (2019),,Were not musicians; only roughly half had any formal music training,Claimed,No history of neurological disease or psychiatric disorders,31,EEG = 28 ECG = 17,16:12,M = 26.8 SD = 4.2
Mollakazemi et al. (2020),,,,,14,14,7:7,18–37
Kumarasinghe et al. (2021),,,,Did not drink alcohol/caffeine before the experiment,11,11,7:4,18–22
Mollakazemi et al. (2021),Examination,,,,14,14,7:7,18–37 M = 27.43
Namazi et al. (2021),,,,Had a “complete health condition” and did not drink alcohol/caffeine for 24 h before experiments,11,11,7:4,18–22
Sharma et al. (2021),Claimed by authors,No history of music training,Claimed,Mental/neurological problems,25,21,21:0,18–24
Kawashima et al. (2024),,,,,17,15,15:0,20–23
